Training type,Source,Resource,Link,Research Phase,Broad skill,Skill bite,Red skill,Tool,Status,Notes
Census,Website,About UK censuses,https://ukdataservice.ac.uk/learning-hub/census/,Explore data,Understand key features of census data,Basics,,,,
Census,Website,Census aggregate data guide,https://ukdataservice.ac.uk/learning-hub/census/,Explore data,Awareness of the different types of census data,Aggregate data,,,,
Census,Website,Obtaining census aggregate data,https://ukdataservice.ac.uk/learning-hub/census/,Get data,How to find and download census data,Aggregate data tools,,InFuse,,
Census,Website,Obtaining census aggregate data,https://ukdataservice.ac.uk/learning-hub/census/,Get data,How to find and download census data,Aggregate data tools,,DKAN,,
Census,Website,Obtaining census aggregate data,https://ukdataservice.ac.uk/learning-hub/census/,Get data,How to find and download census data,Aggregate data tools,,Casweb,,
Census,Website,Census boundary data,https://ukdataservice.ac.uk/learning-hub/census/,Explore data,Awareness of the different types of census data,Boundary data,,,,
Census,Website,Obtaining census boundary data,https://ukdataservice.ac.uk/learning-hub/census/,Get data,How to find and download census data,Boundary data tools,,Easy Download,,
Census,Website,Obtaining census boundary data,https://ukdataservice.ac.uk/learning-hub/census/,Get data,How to find and download census data,Boundary data tools,,Boundary Data Selector,,
Census,Website,Obtaining census boundary data,https://ukdataservice.ac.uk/learning-hub/census/,Get data,How to find and download census data,Boundary data tools,,GeoConvert,,
Census,Website,Census flow data online guide,https://ukdataservice.ac.uk/learning-hub/census/,Explore data,Awareness of the different types of census data                                                                                                                                                               ,Flow data,,,,
Census,Website,Obtaining census flow data,https://ukdataservice.ac.uk/learning-hub/census/,Get data,How to find and download census data                                                                                           ,Flow data tools,,WICID,,
Census,Website,Census microdata guide,https://ukdataservice.ac.uk/learning-hub/census/,Explore data,Awareness of the different types of census data                                                                                                                                                                     ,Microdata,,,,
Census,Website,What can the census microdata tell us,https://ukdataservice.ac.uk/learning-hub/census/,Plan research,Understand potential uses of census data ,Microdata,,,,
Census,Website,Use of census data ,https://ukdataservice.ac.uk/learning-hub/census/,Plan research,Understand potential uses of census data,,,,,
Census,Website,Census definitions ,https://ukdataservice.ac.uk/learning-hub/census/about-uk-censuses/census-definitions/,Explore data,Understand key features of census data,Census documentation,,,,
Census,Website,Census forms ,https://ukdataservice.ac.uk/learning-hub/census/about-uk-censuses/census-definitions/,Explore data,Understand key features of census data,Census documentation,,,,
Census,Website,Census agencies websites ,https://ukdataservice.ac.uk/learning-hub/census/about-uk-censuses/census-agencies-websites/,Explore data,Understand key features of census data,Census agencies,,,,
Census,PDF,The UK Census Longitudinal Datasets ,https://dam.ukdataservice.ac.uk/media/604373/ukcensuslongitudinaldatasets060516.pdf,Explore data,Awareness of the different types of census data,Longitudinal datasets,,,,
